Name,id,brewery_id,cat_id,style_id,Alcohol By Volume,International Bitterness Units,Standard Reference Method,Universal Product Code,filepath,Description,add_user,last_mod,Style,Category,Brewer,Address,City,State,Country,Coordinates,Website,lat,long,IBU,ABV,beer_id,beer_name,name_abv,name_ibu
Honey Wheat,1141,440,-1,-1,4.4600000381,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado,United States,"39.7553,-104.997","",39.7553,-104.997,0,4.46,"Name: Honey Wheat, Brewery: Denver ChopHouse and Brewery, ABV: 4.46, IBU: 0",Name: Honey Wheat,ABV: 4.46,IBU: 0
Porter,1205,662,7,86,5.8000001907,0,0,0,"","",0,2010-07-22T16:00:00-04:00,German-Style Schwarzbier,German Lager,Hoepfner Privatbrauerei,Haid-und-Neu-Strae 18,Karlsruhe,Baden-Wrttemberg,Germany,"49.0125,8.4264","",49.0125,8.4264,0,5.8,"Name: Porter, Brewery: Hoepfner Privatbrauerei, ABV: 5.8, IBU: 0",Name: Porter,ABV: 5.8,IBU: 0
Maifest,1571,865,7,84,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,German-Style Oktoberfest,German Lager,Millstream Brewing,835 48th Avenue,Amana,Iowa,United States,"41.7972,-91.8652","",41.7972,-91.8652,0,0,"Name: Maifest, Brewery: Millstream Brewing, ABV: 0, IBU: 0",Name: Maifest,ABV: 0,IBU: 0
Black Earth Porter,1816,603,2,25,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Porter,Irish Ale,Great Dane Pub and Brewing #2,2980 Cahill Main,Fitchburg,Wisconsin,United States,"43.0177,-89.4232","",43.0177,-89.4232,0,0,"Name: Black Earth Porter, Brewery: Great Dane Pub and Brewing #2, ABV: 0, IBU: 0",Name: Black Earth Porter,ABV: 0,IBU: 0
Stone of Scone Scotch Ale,1819,603,1,15,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Scotch Ale,British Ale,Great Dane Pub and Brewing #2,2980 Cahill Main,Fitchburg,Wisconsin,United States,"43.0177,-89.4232","",43.0177,-89.4232,0,0,"Name: Stone of Scone Scotch Ale, Brewery: Great Dane Pub and Brewing #2, ABV: 0, IBU: 0",Name: Stone of Scone Scotch Ale,ABV: 0,IBU: 0
La Trappe Quadrupel 2000/2001,1830,110,-1,-1,10,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Bierbrouwerij De Koningshoeven,Eindhovenseweg 3,Berkel-Enschot,"",Netherlands,"51.544,5.1285",http://www.latrappe.nl/,51.544,5.1285,0,10,"Name: La Trappe Quadrupel 2000/2001, Brewery: Bierbrouwerij De Koningshoeven, ABV: 10, IBU: 0",Name: La Trappe Quadrupel 2000/2001,ABV: 10,IBU: 0
James Squire India Pale Ale,1904,820,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Malt Shovel Brewery,99 Pyrmont Bridge Road,Camperdown,New South Wales,Australia,"-33.8867,151.174",http://www.maltshovel.com.au/,-33.8867,151.174,0,0,"Name: James Squire India Pale Ale, Brewery: Malt Shovel Brewery, ABV: 0, IBU: 0",Name: James Squire India Pale Ale,ABV: 0,IBU: 0
Irish Style Ale,145,447,-1,-1,5.1999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Dick's Brewing,5945 Prather Road,Centralia,Washington,United States,"46.7713,-123.007","",46.7713,-123.007,0,5.2,"Name: Irish Style Ale, Brewery: Dick's Brewing, ABV: 5.2, IBU: 0",Name: Irish Style Ale,ABV: 5.2,IBU: 0
Extra Strong Vintage Ale,184,397,-1,-1,7.5,0,0,0,"","If fine wine were beer it would no doubt be Coopers Extra Strong Vintage Ale. This strong ale imparts rich full flavours that are suitable for maturation. Brewed with choice malts and an extended top fermentation, Coopers Extra Strong Vintage Ale will improve with age, becoming more interesting and complex in flavour for up to 18 months. The results are well worth the wait!",0,2010-07-22T16:00:00-04:00,"",Hybrid,Coopers Brewery,461 South Road,Regency Park,South Australia,Australia,"-34.8727,138.573",http://www.coopers.com.au/,-34.8727,138.573,0,7.5,"Name: Extra Strong Vintage Ale, Brewery: Coopers Brewery, ABV: 7.5, IBU: 0",Name: Extra Strong Vintage Ale,ABV: 7.5,IBU: 0
Eisenbahn Defumada,243,369,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Cervejaria Sudbrack,"Rua Bahia, 5181",Blumenau,Santa Catarina,Brazil,"-26.8914,-49.1223",http://www.eisenbahn.com.br/,-26.8914,-49.1223,0,0,"Name: Eisenbahn Defumada, Brewery: Cervejaria Sudbrack, ABV: 0, IBU: 0",Name: Eisenbahn Defumada,ABV: 0,IBU: 0
Fairfax Coffee Porter,274,701,-1,-1,5.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Iron Springs Pub & Brewery,765 Center Boulevard,Fairfax,California,United States,"37.986,-122.584","",37.986,-122.584,0,5.5,"Name: Fairfax Coffee Porter, Brewery: Iron Springs Pub & Brewery, ABV: 5.5, IBU: 0",Name: Fairfax Coffee Porter,ABV: 5.5,IBU: 0
Harvest Hefeweizen,317,133,4,50,4.9000000954,0,0,0,"","",0,2010-07-22T16:00:00-04:00,South German-Style Hefeweizen,German Ale,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California,United States,"33.9132,-117.889",http://www.bjsrestaurants.com/beer.aspx,33.9132,-117.889,0,4.9,"Name: Harvest Hefeweizen, Brewery: BJ's Restaurant and Brewery, ABV: 4.9, IBU: 0",Name: Harvest Hefeweizen,ABV: 4.9,IBU: 0
Harvest Ale 2005 (Port),446,727,-1,-1,11.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,JW Lees and Co (Brewers) Ltd.,Middleton Junction,Manchester,Manchester,United Kingdom,"53.5412,-2.1734","",53.5412,-2.1734,0,11.5,"Name: Harvest Ale 2005 (Port), Brewery: JW Lees and Co (Brewers) Ltd., ABV: 11.5, IBU: 0",Name: Harvest Ale 2005 (Port),ABV: 11.5,IBU: 0
Altbairisch Dunkel,524,205,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Brauerei Aying Franz Inselkammer KG,Zornedinger Strae 2,Aying,Bayern,Germany,"47.9706,11.7808","",47.9706,11.7808,0,0,"Name: Altbairisch Dunkel, Brewery: Brauerei Aying Franz Inselkammer KG, ABV: 0, IBU: 0",Name: Altbairisch Dunkel,ABV: 0,IBU: 0
Panil BarriquÃ©e,531,129,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Birrificio Torrechiara,Strada Pilastro 35,Torrechiara,"",Italy,"44.6601,10.2814","",44.6601,10.2814,0,0,"Name: Panil BarriquÃ©e, Brewery: Birrificio Torrechiara, ABV: 0, IBU: 0",Name: Panil BarriquÃ©e,ABV: 0,IBU: 0
Stout,551,1116,3,42,5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,Schlossbru,Oberdorferstrae 9,Dornbirn,"",Austria,"47.4097,9.7514","",47.4097,9.7514,0,5,"Name: Stout, Brewery: Schlossbru, ABV: 5, IBU: 0",Name: Stout,ABV: 5,IBU: 0
Spezial,578,568,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Gasthaus-Brauerei Max & Moritz,Weinbichl 6,Kressbronn am Bodensee,Baden-Wrttemberg,Germany,"47.6064,9.6061","",47.6064,9.6061,0,0,"Name: Spezial, Brewery: Gasthaus-Brauerei Max & Moritz, ABV: 0, IBU: 0",Name: Spezial,ABV: 0,IBU: 0
Light Lager,601,119,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Big Ridge Brewing,15133 Highway 10,Surrey,British Columbia,Canada,"49.1049,-122.69","",49.1049,-122.69,0,0,"Name: Light Lager, Brewery: Big Ridge Brewing, ABV: 0, IBU: 0",Name: Light Lager,ABV: 0,IBU: 0
Oatmeal Stout,699,984,3,42,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,Pike Pub and Brewery,1415 First Avenue,Seattle,Washington,United States,"47.6081,-122.34","",47.6081,-122.34,0,0,"Name: Oatmeal Stout, Brewery: Pike Pub and Brewery, ABV: 0, IBU: 0",Name: Oatmeal Stout,ABV: 0,IBU: 0
Belgian Singel,962,691,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Independence Brew Pub,1150 Filbert Street,Philadelphia,Pennsylvania,United States,"39.9526,-75.1594",http://www.independencebrewpub.com/,39.9526,-75.1594,0,0,"Name: Belgian Singel, Brewery: Independence Brew Pub, ABV: 0, IBU: 0",Name: Belgian Singel,ABV: 0,IBU: 0
Piketown Pils,969,1158,-1,-1,5.0999999046,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Sly Fox Brewhouse and Eatery - Royersford,312 North Lewis Road,Royersford,Pennsylvania,United States,"40.1943,-75.534",http://www.slyfoxbeer.com/index1.asp,40.1943,-75.534,0,5.1,"Name: Piketown Pils, Brewery: Sly Fox Brewhouse and Eatery - Royersford, ABV: 5.1, IBU: 0",Name: Piketown Pils,ABV: 5.1,IBU: 0
Port Panzer Imperial Pilsner,5064,1009,-1,-1,9.5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California,United States,"33.1406,-117.15",http://www.portbrewing.com/,33.1406,-117.15,0,9.5,"Name: Port Panzer Imperial Pilsner, Brewery: Port Brewing Company, ABV: 9.5, IBU: 0",Name: Port Panzer Imperial Pilsner,ABV: 9.5,IBU: 0
Buried Hatchet Stout,5768,1172,3,42,8.25,0,0,0,"","Jet-black in color, this monster smells of coffee and chocolate.  The taste is much of the same, with hints of creamy toffee and roasted malt.  Smooth and delicious, this medium bodied ale is all about the malts, but has enough hop bitterness to be balanced.",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,Southern Star Brewing Company,1207 N. FM 3083 E.,Conroe,Texas,United States,"30.3489,-95.4427",http://www.southernstarbrewery.com/,30.3489,-95.4427,0,8.25,"Name: Buried Hatchet Stout, Brewery: Southern Star Brewing Company, ABV: 8.25, IBU: 0",Name: Buried Hatchet Stout,ABV: 8.25,IBU: 0
IPA Series (Simcoe),5829,45,3,31,0,0,0,0,"","A series of single hop, small batch IPAs brewed in Camp Hill. These IPAs showcase the bitterness, flavor, and aroma of each particular hop variety.",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,United States,"40.2659,-76.8753",http://www.abcbrew.com,40.2659,-76.8753,0,0,"Name: IPA Series (Simcoe), Brewery: Appalachian Brewing Company, ABV: 0, IBU: 0",Name: IPA Series (Simcoe),ABV: 0,IBU: 0
Old Jubilation Ale,5858,62,1,14,8,30,0,7,"","A winter strong ale with mahogany hue, a hint of hazelnuts and a finish reminiscent of mocha and toffee. No spices, just a perfect blend of five specialty malts.",207,2010-12-19T04:56:00-05:00,Strong Ale,British Ale,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado,United States,"40.0166,-105.219",http://www.averybrewing.com/,40.0166,-105.219,30,8,"Name: Old Jubilation Ale, Brewery: Avery Brewing Company, ABV: 8, IBU: 30",Name: Old Jubilation Ale,ABV: 8,IBU: 30
Beer,3119,957,8,95,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Ostankinskij Pivovarennij Zavod,Ogorodnyj Pr. 20,Moskva,Moskva,Russia,"55.7558,37.6176","",55.7558,37.6176,0,0,"Name: Beer, Brewery: Ostankinskij Pivovarennij Zavod, ABV: 0, IBU: 0",Name: Beer,ABV: 0,IBU: 0
Sir Francis Stout,3246,464,3,42,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Stout,North American Ale,Drake's Brewing,1933 Davis Street #177,San Leandro,California,United States,"37.7176,-122.182",http://drinkdrakes.com/,37.7176,-122.182,0,0,"Name: Sir Francis Stout, Brewery: Drake's Brewing, ABV: 0, IBU: 0",Name: Sir Francis Stout,ABV: 0,IBU: 0
HighFalls Indiaman Trader India Pale Export Ale,3471,656,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,High Falls Brewing,445 St.Paul Street,Rochester,New York,United States,"43.1646,-77.6155","",43.1646,-77.6155,0,0,"Name: HighFalls Indiaman Trader India Pale Export Ale, Brewery: High Falls Brewing, ABV: 0, IBU: 0",Name: HighFalls Indiaman Trader India Pale Export Ale,ABV: 0,IBU: 0
Thirsty IPA,3494,1256,3,31,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,ThirstyBear Brewing,661 Howard Street,San Francisco,California,United States,"37.7855,-122.4","",37.7855,-122.4,0,0,"Name: Thirsty IPA, Brewery: ThirstyBear Brewing, ABV: 0, IBU: 0",Name: Thirsty IPA,ABV: 0,IBU: 0
Edel-Pils,3768,907,8,95,0,0,0,0,"","Our little village brewery in New Glarus, Wisconsin is proud to offer to you Edel-Pils. This """"""""Noble-Pilsner"""""""" is the creation of our brewmaster. He brought special yeast from Bavaria, combined it with Wisconsin barley and the finest Bavarian and American hops. Then employing traditional brewing methods, this Pilsner is finished with a long cold rest in our cellars. 


Expect this bier to be creamy and full-bodied with a smooth finish. It will complement any fine meal or friendly gathering. We took our time in brewing so that you might take your time enjoying.",0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin,United States,"42.8171,-89.6306",http://www.newglarusbrewing.com/,42.8171,-89.6306,0,0,"Name: Edel-Pils, Brewery: New Glarus Brewing Company, ABV: 0, IBU: 0",Name: Edel-Pils,ABV: 0,IBU: 0
V-12,3831,1326,5,72,12,0,0,0,"","Heady with a aromatic fruity start and taste, this amber ale features hints of pear and apricot in its well-nuanced flavor. The initial impression of fruitiness concludes in a refreshing dryness that begs you to sip again. Be fore- warned, this ale is immense as it registers 12% abv.",0,2010-07-22T16:00:00-04:00,Other Belgian-Style Ales,Belgian and French Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania,United States,"40.0061,-75.6942",http://www.victorybeer.com,40.0061,-75.6942,0,12,"Name: V-12, Brewery: Victory Brewing, ABV: 12, IBU: 0",Name: V-12,ABV: 12,IBU: 0
Blue Goat,4843,908,-1,-1,7.5,0,0,0,"","Chestnut in color with a nutty malt profile from its signature Munich malt. A muted hop presence and smooth caramelized body culminate in a clean, dry finish. Excellent choice for hearty meals with dark flavors and sauces. Grilled meats, musty cheeses or pecan pie.",0,2010-07-22T16:00:00-04:00,"",Hybrid,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan,United States,"42.79,-86.1041",http://newhollandbrew.com,42.79,-86.1041,0,7.5,"Name: Blue Goat, Brewery: New Holland Brewing Company, ABV: 7.5, IBU: 0",Name: Blue Goat,ABV: 7.5,IBU: 0
Radgie Gadgie,2033,889,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Mordue Brewery,21A Oak Road,Wallsend,Tyne and Wear,United Kingdom,"55.0167,-1.4925","",55.0167,-1.4925,0,0,"Name: Radgie Gadgie, Brewery: Mordue Brewery, ABV: 0, IBU: 0",Name: Radgie Gadgie,ABV: 0,IBU: 0
Samuel Adams Triplebock 1994,2388,157,-1,-1,17,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Boston Beer Company,30 Germania Street,Boston,Massachusetts,United States,"42.3144,-71.1034",http://www.samueladams.com/,42.3144,-71.1034,0,17,"Name: Samuel Adams Triplebock 1994, Brewery: Boston Beer Company, ABV: 17, IBU: 0",Name: Samuel Adams Triplebock 1994,ABV: 17,IBU: 0
McLennium,2671,313,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,BT McClintic Beer Company,"",Beloit,Wisconsin,United States,"42.5083,-89.0318","",42.5083,-89.0318,0,0,"Name: McLennium, Brewery: BT McClintic Beer Company, ABV: 0, IBU: 0",Name: McLennium,ABV: 0,IBU: 0
Hempen Ale,2674,555,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Frederick Brewing,4607 Wedgewood Boulevard,Frederick,Maryland,United States,"39.3628,-77.4265","",39.3628,-77.4265,0,0,"Name: Hempen Ale, Brewery: Frederick Brewing, ABV: 0, IBU: 0",Name: Hempen Ale,ABV: 0,IBU: 0
Auburn Ale,2761,708,3,33,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Amber/Red Ale,North American Ale,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin,United States,"44.9449,-91.3968",http://www.leinie.com/welcome.html,44.9449,-91.3968,0,0,"Name: Auburn Ale, Brewery: Jacob Leinenkugel Brewing Company, ABV: 0, IBU: 0",Name: Auburn Ale,ABV: 0,IBU: 0
Sockeye Red IPA,4092,858,3,31,5.6999998093,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska,United States,"61.1473,-149.844",http://www.midnightsunbrewing.com/,61.1473,-149.844,0,5.7,"Name: Sockeye Red IPA, Brewery: Midnight Sun Brewing Co., ABV: 5.7, IBU: 0",Name: Sockeye Red IPA,ABV: 5.7,IBU: 0
Colonel Paris Pale Ale,4103,145,3,26,4.5,0,0,0,"",A classic American pale ale with a taste not unlike fresh citrus follwed by a crisp and spicy bitterness.,0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Blue Ridge Brewing,217 North Main Street,Greenville,South Carolina,United States,"34.8531,-82.3983",http://www.blueridgebrewing.com/,34.8531,-82.3983,0,4.5,"Name: Colonel Paris Pale Ale, Brewery: Blue Ridge Brewing, ABV: 4.5, IBU: 0",Name: Colonel Paris Pale Ale,ABV: 4.5,IBU: 0
Dark Mild,4214,247,1,10,3.5,0,0,0,"","To quote Dr. John Harrison, a great influence on my brewing, """"""""Mild ale is the only beer with an uninterrupted history from medieval times to the present day."""""""" The """"""""mild"""""""" means low hop bitterness, """"""""...which is the only essential feature of a mild ale."""""""" They can be light or dark in color, high or low in alcohol, dry or sweet. This is difficult for modern style wiennies to grasp. How can one style be so many things? How can I judge it good or bad?. The current Brewery Creek Dark Mild is medium brown, soft hops and about 3.5% abv. It could be a bit more estery. It is a lovely style.",0,2010-07-22T16:00:00-04:00,English-Style Pale Mild Ale,British Ale,Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin,United States,"42.8606,-90.1772",http://www.brewerycreek.com/,42.8606,-90.1772,0,3.5,"Name: Dark Mild, Brewery: Brewery Creek Brewing, ABV: 3.5, IBU: 0",Name: Dark Mild,ABV: 3.5,IBU: 0
Raison D'Etre,4659,459,3,29,8,0,0,0,"","A deep, mahogany ale brewed with beet sugar, green raisins, and Belgian-style yeast. As complex as a fine, red wine. Voted """"""""American Beer of the Year"""""""" in January 2000 by Malt Advocate Magazine.",0,2010-07-22T16:00:00-04:00,Dark American-Belgo-Style Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware,United States,"38.7683,-75.3107",http://www.dogfish.com,38.7683,-75.3107,0,8,"Name: Raison D'Etre, Brewery: Dogfish Head Craft Brewery, ABV: 8, IBU: 0",Name: Raison D'Etre,ABV: 8,IBU: 0
Pale,1114,778,3,26,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Left Coast Brewing,1245 Puerta del Sol,San Clemente,California,United States,"33.4577,-117.589","",33.4577,-117.589,0,0,"Name: Pale, Brewery: Left Coast Brewing, ABV: 0, IBU: 0",Name: Pale,ABV: 0,IBU: 0
Wittekerke,1524,266,-1,-1,5,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,"50.8628,3.2992","",50.8628,3.2992,0,5,"Name: Wittekerke, Brewery: Brouwerij Bavik - De Brabandere, ABV: 5, IBU: 0",Name: Wittekerke,ABV: 5,IBU: 0
Rauchbier MÃ¤rzen,1675,222,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Brauerei Spezial,Obere Knigsstrae 10,Bamberg,Bayern,Germany,"49.8942,10.8855","",49.8942,10.8855,0,0,"Name: Rauchbier MÃ¤rzen, Brewery: Brauerei Spezial, ABV: 0, IBU: 0",Name: Rauchbier MÃ¤rzen,ABV: 0,IBU: 0
Pick Axe Pale Ale,1730,1271,3,26,0,0,0,0,"",Pick Axe Pale Ale is a classic American Pale Ale which uses premium hops and barley to impart a full bodied characteristic that dances on your tongue and titillates your palate.,0,2010-07-22T16:00:00-04:00,American-Style Pale Ale,North American Ale,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado,United States,"39.7418,-105.518",http://www.tommyknocker.com/,39.7418,-105.518,0,0,"Name: Pick Axe Pale Ale, Brewery: Tommyknocker Brewery and Pub, ABV: 0, IBU: 0",Name: Pick Axe Pale Ale,ABV: 0,IBU: 0
ESB,1742,802,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey,United States,"40.7843,-74.78","",40.7843,-74.78,0,0,"Name: ESB, Brewery: Long Valley Pub & Brewery, ABV: 0, IBU: 0",Name: ESB,ABV: 0,IBU: 0
IPA,1809,101,3,31,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,American-Style India Pale Ale,North American Ale,Bellows Brew Crew,"",Watertown,Wisconsin,United States,"43.1947,-88.729","",43.1947,-88.729,0,0,"Name: IPA, Brewery: Bellows Brew Crew, ABV: 0, IBU: 0",Name: IPA,ABV: 0,IBU: 0
Framboise,1957,608,11,116,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,Light American Wheat Ale or Lager,Other Style,Green Bay Brewing,313 Dousman Street,Green Bay,Wisconsin,United States,"44.5189,-88.0196","",44.5189,-88.0196,0,0,"Name: Framboise, Brewery: Green Bay Brewing, ABV: 0, IBU: 0",Name: Framboise,ABV: 0,IBU: 0
Bender Beer,59,1221,3,38,5.0999999046,0,0,0,"","This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!",0,2010-07-22T16:00:00-04:00,American-Style Brown Ale,North American Ale,Surly Brewing,4811 Dusharme Drive,Brooklyn Center,Minnesota,United States,"45.0429,-93.3246",http://www.surlybrewing.com/,45.0429,-93.3246,0,5.1,"Name: Bender Beer, Brewery: Surly Brewing, ABV: 5.1, IBU: 0",Name: Bender Beer,ABV: 5.1,IBU: 0
Premium Pils Edelherb,233,757,-1,-1,4.9000000954,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Kulmbacher Brauerei AG,Lichtenfelser Strae 9,Kulmbach,Bayern,Germany,"50.106,11.4442","",50.106,11.4442,0,4.9,"Name: Premium Pils Edelherb, Brewery: Kulmbacher Brauerei AG, ABV: 4.9, IBU: 0",Name: Premium Pils Edelherb,ABV: 4.9,IBU: 0
BÃªte Blanche,696,496,-1,-1,0,0,0,0,"","",0,2010-07-22T16:00:00-04:00,"",Hybrid,Elysian Brewery & Public House,1221 East Pike Street,Seattle,Washington,United States,"47.614,-122.316",http://www.elysianbrewing.com/,47.614,-122.316,0,0,"Name: BÃªte Blanche, Brewery: Elysian Brewery & Public House, ABV: 0, IBU: 0",Name: BÃªte Blanche,ABV: 0,IBU: 0
Alpha,5068,1352,5,64,6.1999998093,0,0,0,"","Alpha, the first entry in our one-off, brewer's choice series is a Belgian-style Pale Ale at 6.2% ABV. Brewed with Pale, Carahell and Wheat malts, Amarillo and Cascade hops. This medium bodied beer is crisp on the palate with a smooth, not overly bitter hops flavor coupled with the fruity esters from the Belgian Abby yeast strain we used. Its bottle and keg conditioned, so expect a tall, fluffy head, and perhaps small amount of sediment. Just one batch was brewed in April 2008, kegs released in late May, and only 20 cases of bottles for sale only at the brewery at the special debut night event of June 13, 2008, from 5 to 8 pm. Recipe by Jeff Musselman, assistant brewer.",0,2010-07-22T16:00:00-04:00,Belgian-Style Pale Ale,Belgian and French Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania,United States,"40.6732,-75.2249",http://www.weyerbacher.com/,40.6732,-75.2249,0,6.2,"Name: Alpha, Brewery: Weyerbacher Brewing Company, ABV: 6.2, IBU: 0",Name: Alpha,ABV: 6.2,IBU: 0
Michelob Dunkel Weisse,5131,44,3,29,5.5,0,0,0,"",Dunkel Weisse fills a glass like few beers can. The pour releases banana and clove aromas. Roasted malt flavor is complemented by caramel and chocolate undertones. Then a crisp finish refreshes the palate. Undeniable proof that brewing is truly an art.,0,2010-07-22T16:00:00-04:00,Dark American-Belgo-Style Ale,North American Ale,Anheuser-Busch,One Busch Place,Saint Louis,Missouri,United States,"38.5983,-90.209",http://www.anheuser-busch.com/,38.5983,-90.209,0,5.5,"Name: Michelob Dunkel Weisse, Brewery: Anheuser-Busch, ABV: 5.5, IBU: 0",Name: Michelob Dunkel Weisse,ABV: 5.5,IBU: 0
Moylans Hopsickle Imperial Ale,5183,892,3,32,9.1999998093,0,0,0,"","In celebration of the hop,,,,, This is a """"""""Hop"""""""" tribute, worthy of a Kings Imperial Court! Enjoy the blast of fresh Tomahawk, Chinook and Anthanum Hops as they stimulate the taste buds in a truly Imperial Fashion. Pucker up!",0,2010-07-22T16:00:00-04:00,Imperial or Double India Pale Ale,North American Ale,Moylan's Brewery & Restaurant,15 Rowland Way,Novato,California,United States,"38.0941,-122.557",http://www.moylans.com/,38.0941,-122.557,0,9.2,"Name: Moylans Hopsickle Imperial Ale, Brewery: Moylan's Brewery & Restaurant, ABV: 9.2, IBU: 0",Name: Moylans Hopsickle Imperial Ale,ABV: 9.2,IBU: 0
Fauerbach Export,5336,514,8,95,0,0,0,0,"",Actually a Dortmunder/Export style,0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Fauerbach Brewing Company,1714 Camus Lane,Madison,Wisconsin,United States,"43.0844,-89.4761",http://www.fauerbachbrewery.com/,43.0844,-89.4761,0,0,"Name: Fauerbach Export, Brewery: Fauerbach Brewing Company, ABV: 0, IBU: 0",Name: Fauerbach Export,ABV: 0,IBU: 0
Esser's Best,5337,508,8,95,0,0,0,0,"",German Style Lager,0,2010-07-22T16:00:00-04:00,American-Style Lager,North American Lager,Esser's Cross Plains Brewery,2109 Hickory Street,Cross Plains,Wisconsin,United States,"43.1147,-89.6531",http://www.essersbest.com/,43.1147,-89.6531,0,0,"Name: Esser's Best, Brewery: Esser's Cross Plains Brewery, ABV: 0, IBU: 0",Name: Esser's Best,ABV: 0,IBU: 0
